                  X               Y    Z
      32.5482041869   94.0962323692  0.0
      33.2072215032   94.5847554939  0.0
      33.8720733927   95.0685870147  0.0
      34.5427409434   95.5476596735  0.0
      35.2192045811   96.0219060681  0.0
      35.9014440647   96.4912586573  0.0
      36.5894384792   96.9556497661  0.0
      37.2831662302   97.4150115912  0.0
      37.9826050382   97.8692762058  0.0
      38.6877319322   98.3183755656  0.0
      39.3985232438   98.7622415144  0.0
      40.1149546016   99.2008057896  0.0
      40.8370009247    99.634000028  0.0
      41.5646364172  100.0617557721  0.0
      42.2978345618  100.4840044763  0.0
      43.0365681142  100.9006775124  0.0
      43.7808090968  101.3117061769  0.0
      44.5305287931  101.7170216969  0.0
      45.2856977413  102.1165552369  0.0
      46.0462857286  102.5102379055  0.0
      46.8122617854  102.8980007627  0.0
      47.5835941789  103.2797748262  0.0
      48.3602504076  103.6554910792  0.0
      49.1421971953  104.0250804775  0.0
       49.929400485  104.3884739569  0.0
      50.7218254333  104.7456024411  0.0
      51.5194364044   105.096396849  0.0
      52.3221969643  105.4407881028  0.0
       53.130069875  105.7787071363  0.0
      53.9430170887  106.1100849027  0.0
      54.7609997423  106.4348523833  0.0
      55.5839781512  106.7529405957  0.0
      56.4119118041  107.0642806026  0.0
      57.2447593572  107.3688035206  0.0
      58.0824786283  107.6664405293  0.0
      58.9250265919  107.9571228803  0.0
      59.7723593733  108.2407819065  0.0
      60.6244322428  108.5173490314  0.0
      61.4811996112  108.7867557793  0.0
      62.3426150237  109.0489337842  0.0
      63.2086311547  109.3038148008  0.0
       64.079199803  109.5513307135  0.0
      64.9542718861  109.7914135478  0.0
      65.8337974357  110.0239954798  0.0
      66.7177255921  110.2490088474  0.0
      67.6060045995  110.4663861612  0.0
      68.4985818012  110.6760601149  0.0
      69.3954036347  110.8779635971  0.0
      70.2964156272  111.0720297021  0.0
      71.2015623905  111.2581917418  0.0
